-72.9946,-60.8091,-63.1357,-56.7178,-61.3005,-64.6386,-60.3441,-66.4110,-64.0363,-62.5218,-60.2789
-63.7299,-82.0591,-71.2853,-63.4214,-60.6753,-58.5497,-75.8671,-72.7170,-66.3758,-56.3664,-56.2953
-60.4947,-64.4551,-62.7722,-61.0902,-62.1691,-59.7600,-65.3664,-58.4738,-59.5221,-61.8567,-62.6067
-62.5242,-64.3649,-73.4231,-70.8715,-66.3281,-54.9041,-68.5622,-62.7774,-72.3422,-61.6546,-71.2802
-56.9475,-57.1991,-59.9058,-57.1836,-62.5920,-67.3534,-66.9906,-60.5886,-71.2673,-71.9420,-68.4668
-63.5461,-63.0006,-61.3754,-58.1281,-65.9859,-63.7312,-69.6760,-57.7521,-58.5199,-68.2947,-74.6715
-56.7196,-61.6679,-62.0194,-55.4503,-67.8240,-59.0844,-57.9134,-58.9379,-64.6025,-57.9345,-67.0620
-71.8400,-68.1724,-68.4336,-60.6531,-63.4956,-64.0733,-69.9534,-74.6053,-57.2202,-58.1473,-64.2113
-66.4739,-62.5166,-64.4636,-64.9609,-61.1748,-71.6410,-61.8572,-75.2603,-60.8844,-64.8334,-67.3208
-67.3431,-68.2975,-63.2888,-56.4753,-66.3491,-65.7279,-56.7907,-56.8019,-61.9890,-60.7662,-64.3766
