-5.675706677359110586e+01,-5.306235653943717523e+01,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,-5.931279312446747554e+01,nan,-5.398532039200360089e+01,nan,-5.675706677359110586e+01,nan,-3.907731925952259644e+01,-3.120413526474605703e+01,-3.465601523370567350e+01,-4.606755150059254333e+01,nan,nan,nan,nan,-5.398532039200360089e+01,nan
nan,nan,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,nan,-5.675706677359110586e+01,nan,nan,nan,-5.060010684482683985e+01,-4.678562422588071001e+01,-4.623691253885036190e+01,-5.398532039200360089e+01,nan,nan,nan,-5.398532039200360089e+01,-5.675706677359110586e+01,nan,nan
-5.514856983330273010e+01,-5.109532977702812673e+01,nan,nan,-6.646745126270576520e+01,-5.398532039200360089e+01,-5.306235653943717523e+01,-5.165903807898097000e+01,-5.398532039200360089e+01,-6.646745126270576520e+01,-5.514856983330273010e+01,-5.514856983330273010e+01,nan,-5.306235653943717523e+01,-5.230157615477408228e+01,-5.514856983330273010e+01,nan,nan,nan,-5.675706677359110586e+01,nan
nan,nan,-5.931279312446747554e+01,nan,nan,-5.514856983330273010e+01,nan,nan,nan,-5.306235653943717523e+01,nan,-5.514856983330273010e+01,nan,nan,nan,nan,nan,-6.646745126270576520e+01,-4.842759656475124075e+01,nan,-5.398532039200360089e+01
nan,nan,-5.931279312446747554e+01,-5.514856983330273010e+01,nan,nan,nan,-5.514856983330273010e+01,-6.646745126270576520e+01,nan,-4.937802879405214185e+01,nan,-5.109532977702812673e+01,nan,nan,nan,nan,-5.514856983330273010e+01,-5.675706677359110586e+01,nan,-5.230157615477408228e+01
nan,-5.931279312446747554e+01,-5.675706677359110586e+01,-5.931279312446747554e+01,-5.675706677359110586e+01,-5.230157615477408228e+01,-5.015234402307089567e+01,-6.646745126270576520e+01,-5.931279312446747554e+01,nan,-6.646745126270576520e+01,-5.931279312446747554e+01,-4.974944350163119111e+01,-5.931279312446747554e+01,nan,-5.306235653943717523e+01,nan,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,nan
-5.109532977702812673e+01,-5.931279312446747554e+01,nan,-5.109532977702812673e+01,-5.675706677359110586e+01,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,-5.015234402307089567e+01,nan,nan,-4.167014504071057956e+01,-3.541156203657887147e+01,-3.840410140448302911e+01,-5.931279312446747554e+01,-5.230157615477408228e+01,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,-5.109532977702812673e+01,-5.230157615477408228e+01
-5.109532977702812673e+01,nan,-5.398532039200360089e+01,nan,-5.015234402307089567e+01,-6.646745126270576520e+01,-5.514856983330273010e+01,-5.398532039200360089e+01,nan,-5.109532977702812673e+01,-4.937802879405214185e+01,-3.595652394655184025e+01,-3.075806634714226107e+01,-3.304612864171946995e+01,-4.389917533557661500e+01,-5.306235653943717523e+01,nan,-5.931279312446747554e+01,-5.675706677359110586e+01,-5.931279312446747554e+01,-5.015234402307089567e+01
-4.815058409603608425e+01,nan,nan,-5.015234402307089567e+01,-5.514856983330273010e+01,-5.398532039200360089e+01,nan,-5.931279312446747554e+01,-5.398532039200360089e+01,nan,-4.903842222121318173e+01,-4.132367067337895605e+01,-3.327491324647974125e+01,-3.832001894016066501e+01,-4.937802879405214185e+01,nan,-5.931279312446747554e+01,nan,nan,-5.306235653943717523e+01,-5.931279312446747554e+01
nan,nan,-5.306235653943717523e+01,-5.230157615477408228e+01,-5.675706677359110586e+01,-6.646745126270576520e+01,-5.931279312446747554e+01,nan,nan,nan,-5.060010684482683985e+01,-5.306235653943717523e+01,-4.698614893958213656e+01,nan,-5.306235653943717523e+01,nan,-5.015234402307089567e+01,-5.514856983330273010e+01,nan,-5.165903807898097000e+01,nan
-5.514856983330273010e+01,nan,nan,-5.306235653943717523e+01,nan,nan,-5.165903807898097000e+01,nan,-6.646745126270576520e+01,-5.514856983330273010e+01,nan,nan,-5.015234402307089567e+01,nan,-5.514856983330273010e+01,nan,-5.514856983330273010e+01,nan,nan,-5.514856983330273010e+01,-5.165903807898097000e+01
nan,nan,-5.514856983330273010e+01,nan,-6.646745126270576520e+01,-6.646745126270576520e+01,-6.646745126270576520e+01,-5.165903807898097000e+01,nan,-5.931279312446747554e+01,-6.646745126270576520e+01,nan,-5.109532977702812673e+01,nan,-5.165903807898097000e+01,nan,-5.398532039200360089e+01,nan,nan,-5.931279312446747554e+01,nan
-6.646745126270576520e+01,-5.514856983330273010e+01,nan,nan,nan,nan,-5.398532039200360089e+01,nan,-5.109532977702812673e+01,-5.398532039200360089e+01,-5.675706677359110586e+01,nan,-6.646745126270576520e+01,-5.675706677359110586e+01,-5.931279312446747554e+01,nan,-5.675706677359110586e+01,-5.230157615477408228e+01,nan,-5.931279312446747554e+01,nan
nan,-5.109532977702812673e+01,-5.306235653943717523e+01,-6.646745126270576520e+01,-6.646745126270576520e+01,nan,nan,nan,nan,nan,-5.931279312446747554e+01,-4.903842222121318173e+01,nan,nan,nan,nan,nan,nan,-5.109532977702812673e+01,-5.398532039200360089e+01,nan
-5.514856983330273010e+01,nan,-6.646745126270576520e+01,nan,nan,nan,-6.646745126270576520e+01,nan,nan,nan,-5.230157615477408228e+01,-5.109532977702812673e+01,nan,nan,nan,-5.015234402307089567e+01,-5.109532977702812673e+01,-5.398532039200360089e+01,nan,nan,nan
nan,-5.514856983330273010e+01,-5.230157615477408228e+01,-5.398532039200360089e+01,-5.931279312446747554e+01,nan,-5.514856983330273010e+01,-5.675706677359110586e+01,nan,nan,-5.306235653943717523e+01,nan,-6.646745126270576520e+01,nan,nan,nan,nan,nan,-5.514856983330273010e+01,-5.675706677359110586e+01,nan
