-60.0385,-63.0876,-74.3984,-70.4061,-67.4824,-62.3484,-59.3498,-59.3428,-62.8883,-69.5802,-58.5171
-57.4016,-58.4023,-59.3996,-65.2170,-63.2065,-69.4147,-66.4810,-62.3443,-59.8180,-58.4984,-63.6172
-62.0891,-64.4538,-67.0768,-63.6526,-61.6562,-61.0390,-61.1697,-65.8823,-61.6643,-80.4981,-65.8371
-67.4934,-60.2101,-62.3232,-61.8245,-70.1554,-73.9239,-60.2934,-64.6241,-67.4507,-65.0463,-67.6846
-59.1553,-69.0125,-56.6582,-66.5639,-59.5123,-58.5987,-70.6070,-69.2763,-75.2420,-62.3301,-68.2869
-50.4089,-49.8746,-49.7502,-58.6395,-52.7846,-54.8355,-56.1339,-52.8109,-54.2218,-50.5640,-64.1622
-61.0436,-58.3957,-52.9610,-54.3308,-59.6497,-51.2490,-59.5891,-69.4389,-57.9400,-56.2849,-57.8009
-54.7042,-54.7106,-54.1219,-55.1080,-54.8424,-52.4049,-57.4817,-57.2217,-66.8948,-51.6089,-56.4934
-55.5620,-61.4330,-58.0153,-60.8610,-58.7053,-69.1678,-62.7021,-62.1313,-53.6058,-60.9322,-60.9177
-52.6889,-60.0746,-54.9417,-50.3229,-59.6753,-47.8774,-52.2286,-51.2444,-59.1707,-56.1095,-61.6013
