-57.6588,-73.4660,-60.4256,-58.3774,-61.6543,-61.4577,-59.6082,-58.5675,-61.2568,-59.6464,-65.4606,-68.3370,-65.2412,-63.9057,-63.2092,-59.5251,-63.2524,-59.6926,-57.3025,-65.6207,-60.3280,-64.0124,-66.1671,-57.1901,-66.0756,-65.0238,-66.0690,-61.8254,-73.3641,-77.8931,-62.7308,-62.0433,-60.7434,-62.7437,-59.2602,-62.3400,-74.7439,-66.7706,-73.2173,-59.8745,-62.2227,-74.3174,-62.3077,-65.1169,-61.9465,-63.8408,-59.2389,-62.3581,-65.6918,-61.0194,-63.2844
-71.2508,-64.2740,-75.0887,-63.2238,-70.3989,-60.9205,-64.4591,-64.4309,-63.7730,-68.7560,-64.5639,-63.3204,-65.9754,-63.3385,-67.1290,-61.9547,-62.9541,-61.6307,-55.9729,-63.0012,-61.1782,-69.2299,-62.4773,-69.4295,-70.2021,-64.0338,-67.1858,-54.5174,-76.6557,-68.2349,-58.8352,-63.7862,-74.7003,-66.0408,-75.4811,-61.2751,-71.6521,-69.8976,-66.1145,-63.5842,-69.7194,-66.3671,-73.3961,-66.0552,-64.5830,-74.8860,-63.0095,-68.2820,-62.2241,-71.7093,-58.3166
-59.7643,-60.5663,-66.0737,-62.7623,-60.5138,-63.7855,-61.8855,-63.3370,-59.4496,-77.4543,-66.3222,-62.6121,-60.6734,-75.4858,-66.7740,-71.0679,-67.9240,-63.1817,-72.2630,-66.8781,-63.8495,-71.6124,-65.7334,-69.1279,-61.6979,-65.2827,-65.7530,-63.1594,-63.4958,-60.2918,-59.2695,-58.8676,-69.2289,-66.1432,-66.7006,-56.8122,-65.9071,-58.2747,-66.1364,-57.3421,-69.9761,-60.3568,-69.8904,-79.9125,-66.3537,-62.6543,-63.4983,-58.9827,-64.8118,-71.1024,-61.5492
-61.7573,-65.1881,-57.5296,-57.8344,-61.1069,-65.0386,-73.5879,-66.5894,-69.3690,-66.5365,-63.7463,-66.3078,-58.7706,-67.4513,-66.9318,-63.1222,-61.9779,-70.2521,-59.2558,-63.5242,-59.5168,-67.1251,-72.0278,-65.9000,-67.9944,-54.7399,-66.3900,-57.9334,-65.4386,-64.8582,-61.7097,-63.9085,-65.6633,-66.8441,-66.5199,-64.6086,-66.7940,-58.1332,-61.8610,-72.4825,-62.3316,-57.7239,-73.3693,-70.7628,-63.0312,-62.9398,-66.6161,-66.4384,-64.2546,-61.2611,-62.5046
-69.5578,-67.9697,-65.7143,-76.9837,-77.5126,-67.3213,-66.1907,-77.8730,-60.6379,-75.4334,-63.7066,-64.3982,-65.1820,-67.1984,-71.0953,-62.0922,-69.1357,-63.0773,-61.5376,-55.1329,-63.4888,-68.0860,-56.5034,-62.6246,-63.9412,-67.8800,-59.9320,-58.8007,-56.4274,-66.6038,-61.4860,-71.3581,-64.4177,-61.9269,-64.5141,-61.0008,-59.8257,-64.7895,-57.4901,-61.9662,-58.5260,-61.7278,-66.8054,-62.8014,-63.5887,-77.0490,-67.1829,-62.8521,-75.2359,-68.4399,-67.7558
-64.0537,-57.6440,-64.1146,-73.7934,-73.3960,-66.6899,-62.1971,-67.8323,-61.1822,-56.7740,-63.7450,-71.7216,-60.2301,-57.3160,-68.0613,-67.0925,-53.4946,-67.6659,-64.9301,-59.7333,-63.0052,-56.4305,-76.3314,-57.1901,-62.8549,-61.5385,-60.1948,-62.5490,-63.7875,-60.8812,-65.2779,-53.1320,-65.8131,-73.1619,-62.4868,-71.3138,-63.2295,-56.3103,-60.8752,-68.1001,-62.0671,-69.3512,-64.4341,-64.4149,-59.5608,-73.9397,-61.7777,-60.9045,-61.4797,-65.0273,-61.4933
-67.0401,-61.2330,-75.0797,-73.5704,-73.8300,-66.2415,-64.8859,-62.6679,-65.1530,-63.3847,-60.7413,-56.8371,-61.6601,-76.1237,-67.5598,-64.0169,-64.1445,-58.7350,-59.0112,-69.6140,-69.3599,-55.9347,-58.4463,-68.3229,-59.3681,-62.1839,-64.3357,-56.3203,-56.4931,-62.9370,-66.9816,-65.5939,-62.6755,-60.9226,-63.2207,-65.2109,-65.7676,-67.2283,-59.4695,-67.9956,-70.0162,-70.8666,-63.8361,-65.4725,-71.4007,-69.6694,-66.8679,-63.9753,-57.4959,-61.2565,-58.9969
-70.4343,-67.2446,-63.1105,-62.6462,-63.0069,-67.4558,-63.8567,-68.8568,-65.1912,-65.0635,-67.7357,-67.3730,-64.0542,-60.3837,-64.1015,-64.8797,-63.4449,-63.3884,-71.5990,-69.1346,-68.0021,-74.7704,-72.9572,-69.2941,-62.2489,-72.8812,-62.7069,-70.7455,-67.8360,-57.6273,-60.3551,-55.7826,-68.2439,-61.1330,-60.7904,-66.3953,-63.5731,-56.5922,-61.2290,-61.8896,-66.1503,-62.9099,-76.3122,-61.8211,-63.5842,-69.9770,-65.6341,-71.6256,-66.5426,-65.6846,-66.0379
-64.0647,-67.5577,-66.3110,-63.9548,-63.5981,-65.7231,-70.9665,-74.0104,-61.2489,-63.3407,-66.1725,-63.4641,-66.1526,-57.4935,-59.0629,-74.3586,-65.4967,-65.2610,-62.9376,-59.2488,-60.8501,-56.8162,-69.7466,-61.7666,-60.2528,-60.7082,-63.6853,-66.5835,-62.0665,-69.6963,-77.1007,-59.5195,-72.6688,-62.5385,-61.9941,-63.1153,-69.1697,-74.2602,-65.2692,-63.9467,-68.4594,-62.1365,-63.9126,-61.8095,-63.3629,-71.8732,-71.9230,-59.0310,-57.3401,-79.2061,-74.5169
-61.0484,-64.1913,-59.0486,-59.6988,-66.2541,-61.7936,-73.0039,-61.1930,-73.4374,-65.2654,-69.6906,-70.9647,-72.5881,-64.4248,-61.9948,-63.3359,-69.1300,-61.8958,-71.1878,-72.3312,-69.8848,-66.1391,-71.4502,-62.8453,-64.6036,-66.7230,-63.9260,-60.7367,-59.6453,-64.7273,-62.7251,-57.9399,-74.6579,-66.3647,-68.8492,-64.4926,-59.9161,-68.7094,-64.7725,-61.3745,-61.5112,-63.0572,-62.8739,-67.9656,-62.0627,-71.6941,-67.6210,-71.0927,-60.6752,-65.0899,-59.3058
